"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/ankara-cankaya-camlitepe-kiralik/daire/4147-5306","7","30.000","16-09-2025","Kiralık Daire","1 +
                          1","65 m²","10
                        Yaşında","4. Kat","Burak Emlak'dan Kiralık Daire Kurtuluş Tepealtı Sk. 1+1 Yeni Bina","Ankara / Çankaya / Çamlıtepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/burak-emlak-4147","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/4/1/4/0/0/29e47f4d-e1f8-4561-b63c-79a8bd3e11eb.jpg","Burak Emlak","","","",""
"https://www.hepsiemlak.com/ankara-kecioren-haskoy-kiralik/daire/65739-19655","44","30.000","30-08-2025","Kiralık Daire","5 +
                          1","200 m²","30
                        Yaşında","En Üst Kat","Garanti Emlak'tan Hasköy'de Kiralık 5+1 Açık Teraslı Daire","Ankara / Keçiören / Hasköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/garanti-emlak-65739","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/3/7/5/6/0/793f03ad-0227-4ec0-9011-83da17a221ce.jpg","Garanti Emlak","","","",""
"https://www.hepsiemlak.com/ankara-kecioren-etlik-kiralik/daire/9028-4587","28","30.000","12-09-2025","Kiralık Daire","4 +
                          1","200 m²","25
                        Yaşında","En Üst Kat","Etlik Te Full Eşyalı 4+1  Bağımsız Kapalı Teraslı Kiralık Dubleks","Ankara / Keçiören / Etlik Mah.","https://www.hepsiemlak.com/emlak-ofisi/yuvam-emlak-9028/yuvam-emlak-9028","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/2/0/9/0/0/07549fc6-b9b5-43f5-9455-edc456419110.jpg","Yuvam Emlak","Yuvam
          Emlak","","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-demetlale-kiralik/daire/9615-457","33","30.000","04-09-2025","Kiralık Daire","2 +
                          1","100 m²","26
                        Yaşında","4. Kat","Redstone Castle Yenimahalle Demetevler Eşyalı Kiralık 2+1 Daire","Ankara / Yenimahalle / Demetlale Mah.","https://www.hepsiemlak.com/emlak-ofisi/redstone-castle-9615/restone-castle-9615","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/1/9/8/8/4/4/c636f9a52e4fa95d7ba509dafcafe2ad747952efc5b3e0a36461e332636e1c018036cf464e4319614907816dc6b6e78a.jpg","Redstone Castle","Restone
          Castle","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/1/6/9/0/0/6482ee1d-bbf6-4305-80ba-4775436b88a3.jpg","",""
"https://www.hepsiemlak.com/ankara-cankaya-isci-bloklari-kiralik/daire/7388-2913","20","30.000","15-09-2025","Kiralık Daire","2 +
                          1","95 m²","31
                        Yaşında","4. Kat","100.Yıl Emlak'tan Yıldızlarda Güney Cephe Ara Kat 2+1","Ankara / Çankaya / İşçi Blokları Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/6/9/7/1/5/4/71e498ba-2e86-462c-b754-665a4762a412.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-cankaya-kucukesat-kiralik/daire/2380-2222","13","30.000","15-09-2025","Kiralık Daire","2 +
                          1","101 m²","35
                        Yaşında","2. Kat","Küçükesat Bardacık Sokakda  2+1 Kombili  2. Kat Otoparklı  Kombili","Ankara / Çankaya / Küçükesat Mah.","https://www.hepsiemlak.com/emlak-ofisi/turyap-ankara-merkez-temsilciligi-2380/tolga-sozer-2380","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/3/0/0/2/5/4/4c27f817-5b33-49b8-8967-2fba41fbfd86.jpg","Turyap Ankara Merkez Temsilciliği","Tolga
          Sözer","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/8/3/2/0/0/dca29d10-a5be-40ad-88d5-a442e29c5880.jpg","",""
"https://www.hepsiemlak.com/ankara-cankaya-mursel-uluc-kiralik/daire/53453-2735","19","30.000","14-09-2025","Kiralık Daire","3 +
                          1","135 m²","15
                        Yaşında","Ara Kat","Dikmen Ayhan Sümer Yaknı 3+1 Katta Ön Cephe Köşe Daire","Ankara / Çankaya / Mürsel Uluç Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/0/8/4/2/5/4/2884ebf2-69c4-43bf-ae8d-5a8b8f0b477e.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-etimesgut-topcu-kiralik/daire/113388-3499","32","30.000","08-09-2025","Kiralık Daire","3 +
                          1","130 m²","20
                        Yaşında","2. Kat","Emre Emlaktan Topçuda Yapılı Arakatta 3+1 Kiralık Daire","Ankara / Etimesgut / Topçu Mah.","https://www.hepsiemlak.com/emlak-ofisi/emre-emlak-elvankent-113388/emre-soken-2421130","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/7/8/9/9/4/4/e67d4ee5-a519-4a13-8a35-f9ca9785e242.jpg","Emre Emlak Elvankent","Emre
          Söken","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/3/1/1/2/4/2/4a6cb2ec-294d-4cb5-9110-a2b52420e2b2.jpg","https://www.hepsiemlak.com/emlak-ofisi/emre-emlak-elvankent-113388","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/8/3/3/1/1/9569e980-e292-4010-8569-8c4ea571b9ea.JPG"
"https://www.hepsiemlak.com/ankara-kecioren-yukseltepe-kiralik/daire/61688-5511","27","30.000","09-09-2025","Kiralık Daire","2 +
                          1","110 m²","7
                        Yaşında","1. Kat","Yükseltepe Karakeçili Cadde Yakını Ara Kat Eşyalı Kiralık 2+1","Ankara / Keçiören / Yükseltepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/cihan-emlak-61688/bayram-isik-1118619","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/2/4/7/1/5/4/e9fa4ec5-cf80-4d3c-a477-37fc54316a60.jpg","Cihan Emlak","Bayram
          Işık","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/1/6/8/1/1/1/f2e042ca-6886-4fb2-870d-593565eaa53e.jpg","https://www.hepsiemlak.com/emlak-ofisi/cihan-emlak-61688","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/8/6/1/6/0/ec1f4615-350a-49be-a988-e2db8169dd53.jpg"
"https://www.hepsiemlak.com/ankara-golbasi-eymir-kiralik/daire/0-45252709","2","30.000","15-09-2025","Kiralık Daire","3 +
                          1","132 m²","16
                        Yaşında","4. Kat","Sahibinden C2 Tipi Yaprak Vadi Sitesindeki En Güzel Dairelerden Biri","Ankara / Gölbaşı / Eymir Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/0/7/2/5/2/5/4/1757925936-691989-45252709.jpeg","","","","",""
