"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/ankara-yenimahalle-isinlar-kiralik/daire/53451-1802","18","30.000","16-09-2025","Kiralık Daire","3 +
                          1","150 m²","26
                        Yaşında","2. Kat","Ada Emlak Güvencesiyle Metroya Yakın Arakat 3+1 Miralayda 140m2","Ankara / Yenimahalle / Işınlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/yenimahalle-ada-emlak-53451/aytekin-tezcan-1009918","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/8/8/9/0/2/5/4/ac137ae6-d312-49fa-9885-294b54e7ca5b.jpg","Yenimahalle Ada Emlak","Aytekin
          Tezcan","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/1/9/9/0/0/1/a484ee05-11a3-4223-8876-621618914b4c.jpg","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-demetlale-kiralik/daire/96259-402","54","30.000","16-09-2025","Kiralık Daire","3 +
                          1","135 m²","34
                        Yaşında","Ara Kat","Demetevler Hastahane  Metro Yakını Kiralık 3+1 Daire","Ankara / Yenimahalle / Demetlale Mah.","https://www.hepsiemlak.com/emlak-ofisi/ada-emlak-96259/cengiz-polat-2013687","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/2/9/5/4/6/3/0a586977-04bb-4a5f-a915-3a8f8da48921.jpg","Ada Emlak","Cengiz
          Polat","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/8/6/3/1/0/2/ea039125-be50-4032-a69b-92f9994343df.jpg","",""
"https://www.hepsiemlak.com/ankara-cankaya-maltepe-kiralik/daire/7655-1789","60","30.000","14-09-2025","Kiralık Daire","3 +
                          1","125 m²","30
                        Yaşında","Yüksek Giriş","Egemenden Maltepe De Full Eşyalı Anıtkabir Ve Çevre Üniversitelere Yakın Aile Apartmanında Yüksek Gr","Ankara / Çankaya / Maltepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/egemen-emlak-7655","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/2/1/3/2/5/4/1757536282-8051782-45231229.jpeg","Egemen Emlak","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/5/6/7/0/0/e92ffaf8-315f-4b03-a313-d1ff97f68875.jpeg","",""
"https://www.hepsiemlak.com/ankara-mamak-bahcelerustu-kiralik/daire/134928-350","27","30.000","10-09-2025","Kiralık Daire","3 +
                          1","120 m²","12
                        Yaşında","2. Kat","Mamak Bahçelerüstü Mh 48. Sk. Full Eşyalı Kiralık 3+1 Daire – 2. Kat – Asansörlü – Cam Balkonlu","Ankara / Mamak / Bahçelerüstü Mah.","https://www.hepsiemlak.com/emlak-ofisi/canay-gayrimenkul-134928/ahmet-cankurban-3606730","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/2/5/8/1/5/4/ef4dc59b-cfdf-4ac8-ae28-156356f964a3.jpg","Canay Gayrimenkul","Ahmet
          Cankurban","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/3/7/6/0/6/3/d55eb4f6-ac90-4ffd-9850-8aaae300bbe7.jpg","https://www.hepsiemlak.com/emlak-ofisi/canay-gayrimenkul-134928","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/2/9/4/3/1/3c7f1d2e-b303-401a-80b0-b7f671b3517b.jpg"
"https://www.hepsiemlak.com/ankara-kecioren-etlik-kiralik/daire/113784-1689","37","30.000","13-09-2025","Kiralık Daire","3 +
                          1","145 m²","10
                        Yaşında","Ara Kat","Yozgat_bulvar_üzeri_ara_kat_asansörlü_ön_cephe_130m²_3+1","Ankara / Keçiören / Etlik Mah.","https://www.hepsiemlak.com/emlak-ofisi/cadde-park-emlak-113784/alican-kayabas-2438676","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/6/3/2/8/1/5/4/7d0129ba-c435-49d5-846e-a7247b128cf3.jpg","Cadde Park Emlak","Alican
          Kayabaş","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/7/6/8/3/4/2/175deb57-1e67-49bd-a3b5-9d86076ba080.jpg","https://www.hepsiemlak.com/emlak-ofisi/cadde-park-emlak-113784","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/8/7/3/1/1/e8fc703e-7a11-4764-aca0-f24f43c66bec.jpg"
"https://www.hepsiemlak.com/ankara-cankaya-guvenevler-kiralik/daire/25774-1809","60","30.000","14-09-2025","Kiralık Daire","1 +
                          1","60 m²","Sıfır Bina","Kot 1","Ayrancı  Yeşilyurt Sok Cinbah Cad  Tunalı Yakını Sıfır Bina Asansör","Ankara / Çankaya / Güvenevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/bir-emlak-cankaya-hosdere-temsilciligi-25774","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/8/8/2/5/1/5/4/8f3c558a-f6a8-4a46-a104-e1ab58b99b9e.jpg","Bir Emlak Çankaya-hoşdere Temsilciliği","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/7/7/5/2/0/68ffc418-d2c9-4d31-916d-58050901ee6f.jpg","",""
"https://www.hepsiemlak.com/ankara-cankaya-muhsin-ertugrul-kiralik/daire/48566-974","37","30.000","15-09-2025","Kiralık Daire","3 +
                          1","145 m²","54
                        Yaşında","3. Kat","Esat Ballıbaba'da , Kiralık 3+1 , Full Yapılı, Katta, Kombili , Bağımsız Salon, Ferah Daire","Ankara / Çankaya / Muhsin Ertuğrul Mah.","https://www.hepsiemlak.com/emlak-ofisi/gurler-emlak-48566/hamdi-gurler-914284","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/4/2/9/9/0/5/4/323a8e9d-336a-480b-9343-4b4342096547.jpg","Gürler Emlak","Hamdi
          Gürler","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/8/2/4/1/9/ff3ddfeb-db5b-48f4-83fb-8f7040106b3a.jpg","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-demetevler-kiralik/daire/67673-1379","38","30.000","15-09-2025","Kiralık Daire","3 +
                          1","125 m²","15
                        Yaşında","4. Kat","Kaplan'dan Demet'te 3+1 4.Kat 120 M2 Bağımsız Salon Asansörlü Kombili Kiralık Daire","Ankara / Yenimahalle / Demetevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/kaplan-gayrimenkul-67673/omer-kaplan-1290305","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/3/1/7/9/4/4/bf0105fd-0067-4f54-aa55-0bd514f24ea5.jpg","Kaplan Gayrimenkul","Ömer
          Kaplan","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/0/3/0/9/2/1/c013e205-b04d-45ee-83e2-9e7d74a2638a.jpg","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-mehmet-akif-ersoy-kiralik/daire/4156-1275","31","30.000","15-09-2025","Kiralık Daire","1 +
                          1","63 m²","16
                        Yaşında","Yüksek Giriş","Naz-Em'den Urankent Elit'te 1+1 58 M2 Bağımsız Mutfak Y.Giriş","Ankara / Yenimahalle / Mehmet Akif Ersoy Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/3/2/0/8/4/4/b807355c-a889-4ea9-b056-12aa7e27bfd5.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-etimesgut-devlet-kiralik/daire/37957-16241","34","30.000","11-09-2025","Kiralık Daire","2 +
                          1","135 m²","25
                        Yaşında","6. Kat","''evinbizden''devlet Mahallesinde Gimsaya Yakın Geniş 2+1","Ankara / Etimesgut / Devlet Mah.","https://www.hepsiemlak.com/emlak-ofisi/evinbizden-gayrimenkul3etap-37957/serkan-gulesen-764400","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/5/5/6/3/1/5/4/6915050a-c072-49ea-aa7e-10a862cbf37c.jpg","Evinbizden Gayrimenkul/3.etap","Serkan
          Güleşen","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","",""
"https://www.hepsiemlak.com/ankara-cankaya-fidanlik-kiralik/daire/117536-687","18","30.000","16-09-2025","Kiralık Daire","2 +
                          1","100 m²","50
                        Yaşında","5. Kat","Kızılay Adakale Sokakta Kiralık Eşyalı Daire 2+1 Teras","Ankara / Çankaya / Fidanlık Mah.","https://www.hepsiemlak.com/emlak-ofisi/oktay-gayrimenkul-117536","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/3/9/9/8/4/4/1751879348-486954-44899352.jpeg","Oktay Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/5/7/1/1/2de538af-8bfb-4c06-b16b-d038250a7e6e.jpg","",""
